entity,field_name,type,read_only,audited
Account,gbCensusReceived,bool,false,false
Opportunity,gbCensusReceived,bool,false,false
Account,gbDentalCarrier,text,false,false
Account,gbDentalMonthlyPremium,currency,false,false
Account,gbEligibleEmployees,int,false,false
Opportunity,gbEligibleEmployees,int,false,false
Account,gbEmployerContribution,text,false,false
Opportunity,gbEmployerContribution,varchar,false,false
Account,gbLifeAdCarrier,text,false,false
Account,gbLifeBenefitAmount,currency,false,false
Account,gbLtdCarrier,text,false,false
Account,gbMedicalCarrier,text,false,false
Opportunity,gbMedicalCarrier,varchar,false,false
Account,gbMedicalMonthlyPremium,currency,false,false
Account,gbMedicalPlanType,enum,false,false
Opportunity,gbMedicalPlanType,enum,false,false
Account,gbMedicalRenewalDate,date,false,false
Opportunity,gbMedicalRenewalDate,date,false,false
Account,gbNotes,text,false,false
Account,gbParticipatingEmployees,int,false,false
Opportunity,gbParticipatingEmployees,int,false,false
Account,gbStdCarrier,text,false,false
Account,gbVisionCarrier,text,false,false
Account,gbVisionMonthlyPremium,currency,false,false
Account,gbVoluntaryBenefits,text,false,false
Opportunity,glAnnualPayroll,currency,false,false
Opportunity,glAnnualRevenue,currency,false,false
Opportunity,glClassCode,varchar,false,false
Opportunity,glOperationsDesc,text,false,false
Opportunity,glSubcontractorsUsed,bool,false,false
Account,googleDriveFolderUrl,url,false,false
Opportunity,healthAssessmentDate,datetime,false,false
Opportunity,healthAssessmentNotes,text,false,false
Opportunity,healthBeneficiaryName,varchar,false,false
Opportunity,healthCoverageType,enum,false,false
Opportunity,healthDateOfBirth,date,false,false
Opportunity,healthFaceAmount,currency,false,false
Opportunity,healthGender,enum,false,false
Opportunity,healthHeightInches,int,false,false
Opportunity,healthMedications,text,false,false
Opportunity,healthPreExistingConditions,text,false,false
Opportunity,healthRiskClass,enum,false,false
Opportunity,healthTobaccoUse,bool,false,false
Opportunity,healthWeightLbs,int,false,false
Account,homeAlarmMonitored,bool,false,false
Account,homeConstruction,enum,false,false
Account,homeDog,bool,false,false
Account,homeDogBreed,text,false,false
Account,homeDwellingValue,currency,false,false
Account,homePool,bool,false,false
Account,homePurchaseYear,int,false,false
Account,homeRoofMaterial,enum,false,false
Account,homeRoofYear,int,false,false
Account,homeSecuritySystem,bool,false,false
Account,homeSquareFootage,int,false,false
Account,homeTrampoline,bool,false,false
Account,homeYearBuilt,int,false,false
Contact,householdRole,enum,false,false
Account,insightObjection,text,false,false
Account,insightOpener,text,false,false
Account,insightRelationship,text,false,false
Account,insightSignal,text,false,false
Lead,insuranceInterest,enum,false,false
Policy,insuredMomentumId,varchar,false,false
Account,intelAiSummary,text,false,false
Account,intelAnnualRevenueEst,text,false,false
Account,intelBbbAccredited,bool,false,false
Account,intelBbbComplaints,int,false,false
Account,intelBbbNotes,text,false,false
Account,intelBbbRating,varchar,false,false
Account,intelCargoType,text,false,false
Account,intelConfidence,enum,false,false
Account,intelCrossSell,text,false,false
Account,intelDba,text,false,false
Account,intelDotIncidents,int,false,false
Account,intelEmployeeCount,int,false,false
Account,intelEntityType,enum,false,false
Account,intelFleetSize,int,false,false
Account,intelGrowthIndicator,text,false,false
Account,intelLegalName,text,false,false
Account,intelLinkedinNotes,text,false,false
Account,intelLinkedinUrl,url,false,false
Account,intelNaics,text,false,false
Account,intelNewsNotes,text,false,false
